paintingId,artistId,galleryId,imageFileName,title,shapeId,museumLink,accessionNumber,copyrightText,description,excerpt,yearOfWork,width,height,medium,cost,MSRP,googleLink,googleDescription,wikiLink,jsonAnnotations
5,1,20,1050,Self-portrait (Yo),1,http://www.moma.org/collection/works/80026?locale=en,587.1998,Estate of Pablo Picasso / Artists Rights Society,,,1901,54,32,Oil on cardboard on panel,125,135,,,"https://en.wikipedia.org/wiki/Yo,_Picasso","{""safeSearchAnnotation"":{""violence"":1,""racy"":1},""dominantColors"":[{""color"":{""red"":47,""green"":53,""blue"":52},""web"":""#2F3534"",""name"":""Aztec""},{""color"":{""red"":221,""green"":184,""blue"":96},""web"":""#DDB860"",""name"":""Equator""},{""color"":{""red"":112,""green"":73,""blue"":57},""web"":""#704939"",""name"":""Old Copper""},{""color"":{""red"":138,""green"":118,""blue"":80},""web"":""#8a7650"",""name"":""Shadow""},{""color"":{""red"":216,""green"":144,""blue"":67},""web"":""#d89043"",""name"":""Fire Bush""},{""color"":{""red"":76,""green"":78,""blue"":71},""web"":""#4C4E47"",""name"":""Gravel""}]}"
7,1,7,1080,Family of Saltimbanques,3,http://www.nga.gov/content/ngaweb/Collection/art-object-page.46665.html,1963.10.190,Estate of Pablo Picasso/Artists Rights Society,"Family of Saltimbanques (La famille de saltimbanques) is a 1905 painting by Pablo Picasso. It is considered the masterpiece of Picasso's circus period. The painting depicts six saltimbanques, a kind of itinerant circus performer, in a desolate landscape. The composition groups them together, but they do not seem connected to each other and are not looking at each other.[", Family of Saltimbanques (La famille de saltimbanques) is a 1905 painting by Pablo Picasso. It is considered the masterpiece of Picasso's circus period.,1905,213,230,Oil on canvas,440,570,,,http://en.wikipedia.org/wiki/Family_of_Saltimbanques,"{""safeSearchAnnotation"":{""violence"":1,""racy"":2},""dominantColors"":[{""color"":{""red"":206,""green"":191,""blue"":189},""web"":""#CEBFBD"",""name"":""Alto""},{""color"":{""red"":81,""green"":47,""blue"":31},""web"":""#512F1F"",""name"":""Indian Tan""},{""color"":{""red"":129,""green"":50,""blue"":27},""web"":""#81321B"",""name"":""Burnt Umber""},{""color"":{""red"":213,""green"":188,""blue"":170},""web"":""#D5BCAA"",""name"":""Just Right""},{""color"":{""red"":171,""green"":155,""blue"":153},""web"":""#847474"",""name"":""Bazaar""},{""color"":{""red"":93,""green"":118,""blue"":161},""web"":""#5d76a1"",""name"":""Waikawa Grey""}]}"
8,1,11,1090,Portrait of Daniel-Henry Kahnweiler,1,http://www.artic.edu/aic/collections/artwork/111060,,Estate of Pablo Picasso / Artists Rights Society,"In 1907 Picasso joined an art gallery that had recently been opened in Paris by Daniel-Henry Kahnweiler. Kahnweiler was a German art historian, art collector who became one of the premier French art dealers of the 20th century. He was among the first champions of Pablo Picasso, Georges Braque and the Cubism that they jointly developed. Kahnweiler promoted burgeoning artists such as Andre Derain, Kees Van Dongen, Fernand Leger, Juan Gris, Maurice de Vlaminck and several others who had come from all over the globe to live and work in Montparnasse at the time.","In 1907 Picasso joined an art gallery that had recently been opened in Paris by Daniel-Henry Kahnweiler. Kahnweiler was a German art historian, art collector who became one of the premier French art dealers of the 20th century.",1910,101,73,Oil on canvas,900,1000,,,,"{""safeSearchAnnotation"":{""violence"":2,""racy"":1},""dominantColors"":[{""color"":{""red"":67,""green"":48,""blue"":27},""web"":""#43301B"",""name"":""Clinker""},{""color"":{""red"":177,""green"":151,""blue"":124},""web"":""#B1977C"",""name"":""Sandrift""},{""color"":{""red"":99,""green"":78,""blue"":54},""web"":""#634E36"",""name"":""Dallas""},{""color"":{""red"":141,""green"":117,""blue"":90},""web"":""#8D755A"",""name"":""Cement""},{""color"":{""red"":168,""green"":117,""blue"":47},""web"":""#a8752f"",""name"":""Hot Toddy""},{""color"":{""red"":45,""green"":26,""blue"":11},""web"":""#2D1A0B"",""name"":""Cocoa Brown""}]}"
11,1,13,1130,Self Portrait With A Palette,1,http://www.philamuseum.org/collections/permanent/50947.html,1950-01-01,Estate of Pablo Picasso / Artists Rights Society,"This self-portrait casts the twenty-five-year-old painter as a hardy, athletic figure and sets the stage for the legend of Picasso as the artistic champion of the twentieth century. In preparatory drawings the artist included a brush in his right hand, but he removed it in this final version. Its absence attests to the notion that creative genius is not simply manual dexterity but the expression of an inner vision, here symbolized by the artist's intense, staring eyes.","This self-portrait casts the twenty-five-year-old painter as a hardy, athletic figure and sets the stage for the legend of Picasso as the artistic champion of the twentieth century.",1906,92,73,Oil on canvas,500,800,,,,"{""safeSearchAnnotation"":{""violence"":1,""racy"":2},""dominantColors"":[{""color"":{""red"":239,""green"":234,""blue"":224},""web"":""#EFEAE0"",""name"":""White Linen""},{""color"":{""red"":112,""green"":118,""blue"":123},""web"":""#70767B"",""name"":""Raven""},{""color"":{""red"":83,""green"":89,""blue"":94},""web"":""#53595E"",""name"":""Fiord""},{""color"":{""red"":197,""green"":144,""blue"":103},""web"":""#c59067"",""name"":""Whiskey""},{""color"":{""red"":148,""green"":129,""blue"":110},""web"":""#94816e"",""name"":""Squirrel""},{""color"":{""red"":232,""green"":227,""blue"":215},""web"":""#e8e3d7"",""name"":""Cararra""}]}"
12,1,6,1150,Portrait of Gertrude Stein,1,http://www.metmuseum.org/art/collection/search/488221,47.106,Estate of Pablo Picasso / Artists Rights Society,"By 1905 Picasso became a favorite of the American art collectors Leo and Gertrude Stein. Their older brother Michael Stein and his wife Sarah also became collectors of his work. Picasso painted portraits of both Gertrude Stein and her nephew Allan Stein. Gertrude Stein became Picasso's principal patron, acquiring his drawings and paintings and exhibiting them in her informal Salon at her home in Paris. At one of her gatherings in 1905, he met Henri Matisse, who was to become a lifelong friend and rival. The Steins introduced him to Claribel Cone and her sister Etta who were American art collectors; they also began to acquire Picasso and Matisse's paintings. Eventually Leo Stein moved to Italy, and Michael and Sarah Stein became patrons of Matisse; while Gertrude Stein continued to collect Picasso.",By 1905 Picasso became a favorite of the American art collectors Leo and Gertrude Stein. Their older brother Michael Stein and his wife Sarah also became collectors of his work. Picasso painted portraits of both Gertrude Stein and her nephew Allan Stein.,1907,100,81,oil on canvas,620,800,,,http://www.metmuseum.org/Collections/search-the-collections/210008443,"{""safeSearchAnnotation"":{""violence"":1,""racy"":1},""dominantColors"":[{""color"":{""red"":52,""green"":49,""blue"":51},""web"":""#343133"",""name"":""Melanzane""},{""color"":{""red"":105,""green"":72,""blue"":61},""web"":""#69483D"",""name"":""Spice""},{""color"":{""red"":209,""green"":189,""blue"":153},""web"":""#D1BD99"",""name"":""Vanilla""},{""color"":{""red"":26,""green"":30,""blue"":36},""web"":""#1A1E24"",""name"":""Black Pearl""},{""color"":{""red"":106,""green"":84,""blue"":65},""web"":""#6A5441"",""name"":""Tobacco Brown""},{""color"":{""red"":77,""green"":53,""blue"":53},""web"":""#4D3535"",""name"":""Cocoa Bean""}]}"
14,1,20,1170,Two Nudes,5,http://www.moma.org/collection/works/80111?locale=en,621.1959,Estate of Pablo Picasso / Artists Rights Society,"The terracotta shades and heavy monumentality of the figures in <em>Two Nudes</em> derive from Picasso's interest at the time in the ancient Iberian sculpture of his native Spain. Like many artists in the first decades of the twentieth century, Picasso found ancient and non-western art to be fruitful alternatives both to the prescribed forms of academic painting and the visual culture of industrial modernity. These two women are nearly mirror images, but the face of the figure on the left bears a strong resemblance to that of the figure on the far left in <em>Les Demoiselles d'Avignon</em>. Like the woman in Demoiselles, with whom she shares her chiseled nose and dark, hollow eyes, this woman holds open what appears to be a curtain and gazes outward, as though beckoning viewers in.","The terracotta shades and heavy monumentality of the figures in <em>Two Nudes</em> derive from Picasso's interest at the time in the ancient Iberian sculpture of his native Spain. Like many artists in the first decades of the twentieth century, Picasso found ancient and non-western art to be fruitful alternatives both to the prescribed forms of academic painting and the visual culture of industrial modernity.",1907,151,93,Oil on canvas,800,900,,,,"{""safeSearchAnnotation"":{""violence"":1,""racy"":4},""dominantColors"":[{""color"":{""red"":178,""green"":146,""blue"":87},""web"":""#B29257"",""name"":""Barley Corn""},{""color"":{""red"":68,""green"":57,""blue"":33},""web"":""#443921"",""name"":""Mikado""},{""color"":{""red"":93,""green"":73,""blue"":45},""web"":""#5D492D"",""name"":""Dallas""},{""color"":{""red"":100,""green"":66,""blue"":40},""web"":""#644228"",""name"":""Irish Coffee""},{""color"":{""red"":151,""green"":106,""blue"":60},""web"":""#976a3c"",""name"":""McKenzie""},{""color"":{""red"":140,""green"":119,""blue"":85},""web"":""#8C7755"",""name"":""Cement""}]}"
15,1,24,1180,Three Women,1,https://www.hermitagemuseum.org/wps/portal/hermitage/digital-collection/01.+Paintings/28585/?lng=en,9658,Personal non-commercial use,This is one of the most important of Picasso's Cubist works. He made about seventy sketches and rough drafts for it. The artist took the traditional subject of the Three Graces and reworked it in his own style.,This is one of the most important of Picasso's Cubist works. He made about seventy sketches and rough drafts for it. The artist took the traditional subject of the Three Graces and reworked it in his own style.,1908,200,178,Oil on canvas,875,1000,,,http://www.hermitagemuseum.org/html_En/03/hm3_3_1_8c.html,"{""safeSearchAnnotation"":{""violence"":1,""racy"":3},""dominantColors"":[{""color"":{""red"":161,""green"":46,""blue"":32},""web"":""#A12E20"",""name"":""Brown ""},{""color"":{""red"":185,""green"":90,""blue"":61},""web"":""#B95A3D"",""name"":""Smoke Tree""},{""color"":{""red"":100,""green"":26,""blue"":27},""web"":""#641A1B"",""name"":""Pohutukawa""},{""color"":{""red"":222,""green"":119,""blue"":62},""web"":""#DE773E"",""name"":""Jaffa""},{""color"":{""red"":43,""green"":59,""blue"":71},""web"":""#2b3b47"",""name"":""Tarawera""},{""color"":{""red"":98,""green"":71,""blue"":65},""web"":""#624741"",""name"":""Congo Brown""}]}"
16,1,11,1190,Woman and Child on the Seashore,3,http://www.artic.edu/aic/collections/artwork/109275,,Estate of Pablo Picasso / Artists Rights Society,"Inspired by ancient art he saw while in Rome, Picasso began painting heavy-set figures in a neoclassical mode. In 1918, having married the Russian dancer Olga Koklova, Picasso was drawn to images of mothers with children.","Inspired by ancient art he saw while in Rome, Picasso began painting heavy-set figures in a neoclassical mode. In 1918, having married the Russian dancer Olga Koklova, Picasso was drawn to images of mothers with children.",1921,143,162,Oil on canvas,750,900,,,http://www.artic.edu/aic/collections/exhibitions/modernwing/artwork/109275,"{""safeSearchAnnotation"":{""violence"":1,""racy"":3},""dominantColors"":[{""color"":{""red"":128,""green"":114,""blue"":109},""web"":""#80726D"",""name"":""Hurricane""},{""color"":{""red"":77,""green"":41,""blue"":27},""web"":""#4D291B"",""name"":""Indian Tan""},{""color"":{""red"":132,""green"":51,""blue"":19},""web"":""#843313"",""name"":""Burnt Umber""},{""color"":{""red"":171,""green"":159,""blue"":152},""web"":""#AB9F98"",""name"":""Del Rio""},{""color"":{""red"":200,""green"":142,""blue"":115},""web"":""#c88e73"",""name"":""Feldspar""},{""color"":{""red"":170,""green"":75,""blue"":37},""web"":""#aa4b25"",""name"":""Rose Of Sharon""}]}"
23,1,7,1020,The Tragedy,1,http://www.nga.gov/content/ngaweb/Collection/art-object-page.46671.html,1963.10.196,Estate of Pablo Picasso/Artists Rights Society,,,1903,105,69,Oil on canvas,430,600,,,http://www.nga.gov/feature/picasso/technique.shtm,"{""safeSearchAnnotation"":{""violence"":1,""racy"":1},""dominantColors"":[{""color"":{""red"":45,""green"":85,""blue"":111},""web"":""#2D556F"",""name"":""Chathams Blue""},{""color"":{""red"":85,""green"":170,""blue"":221},""web"":""#55AADD"",""name"":""Picton Blue""},{""color"":{""red"":55,""green"":131,""blue"":182},""web"":""#3783B6"",""name"":""Curious Blue""},{""color"":{""red"":70,""green"":126,""blue"":149},""web"":""#467E95"",""name"":""Jelly Bean""},{""color"":{""red"":28,""green"":57,""blue"":81},""web"":""#1C3951"",""name"":""Regal Blue""},{""color"":{""red"":109,""green"":193,""blue"":241},""web"":""#6DC1F1"",""name"":""Maya Blue""}]}"
24,1,11,1060,Old Guitarist,1,http://www.artic.edu/aic/collections/artwork/28067,,Estate of Pablo Picasso / Artists Rights Society,,,1903,121,82,Oil on panel,823,900,,,,"{""safeSearchAnnotation"":{""violence"":1,""racy"":2},""dominantColors"":[{""color"":{""red"":90,""green"":89,""blue"":65},""web"":""#5A5941"",""name"":""Verdigris""},{""color"":{""red"":104,""green"":115,""blue"":76},""web"":""#68734C"",""name"":""Siam""},{""color"":{""red"":168,""green"":207,""blue"":167},""web"":""#A8CFA7"",""name"":""Zanah""},{""color"":{""red"":116,""green"":163,""blue"":151},""web"":""#74A397"",""name"":""Acapulco""},{""color"":{""red"":88,""green"":97,""blue"":63},""web"":""#58613F"",""name"":""Woodland""},{""color"":{""red"":85,""green"":128,""blue"":119},""web"":""#558077"",""name"":""Breaker Bay""}]}"
